	[]
32161258	['sarcoma', 'primary liver cancer', 'breast cancer', 'atypical teratoid/rhabdoid tumor', 'nephroblastoma', 'liver cancer', 'ovarian cancer', 'prostate cancer', 'pediatric renal tumor', 'pediatric renal cell carcinoma', 'pancreatic tumor', 'childhood cancer', 'rectal cancer', 'renal cell carcinoma', 'rhabdoid tumor', 'wilms tumor', 'gastrointestinal', 'colorectal cancer', 'pancreatic cancer', 'gastric cancer']
32411709	['pancreatic cancer', 'pancreatic tumor']
33377121	['melanoma', 'thyroid cancer', 'gastrointestinal']
29593296	['colorectal cancer', 'rectal cancer', 'breast cancer']
31884964	['hepatocellular carcinoma', 'prostate cancer', 'breast cancer', 'liver cancer', 'rectal cancer', 'colorectal cancer', 'pancreatic cancer', 'glioblastoma', 'gastric cancer']
29593296	['colorectal cancer', 'rectal cancer']
32411709	['pancreatic cancer']
31884964	['sarcoma', 'cholangiocarcinoma', 'primary liver cancer', 'breast cancer', 'colorectal adenocarcinoma', 'liver cancer', 'lung cancer', 'prostate cancer', 'nsclc', 'non-small cell lung cancer', 'rectal cancer', 'adenoid cystic carcinoma', 'colon cancer', 'astrocytoma', 'rectal adenocarcinoma', 'small cell lung cancer', 'hepatocellular carcinoma', 'colorectal cancer', 'gastric cancer', 'mammary tumor']
29593296	['colorectal cancer', 'rectal cancer', 'breast cancer', 'dcis']
31884964	['gastrointestinal', 'breast cancer', 'esophageal cancer', 'pancreatic ductal adenocarcinoma', 'metastatic cancer', 'lung cancer']
29463813	['prostate cancer', 'cholangiocarcinoma', 'pancreatic cancer', 'gastrointestinal', 'breast cancer', 'intrahepatic cholangiocarcinoma', 'neuroblastoma', 'pancreatic tumor', 'colon cancer', 'head and neck cancer', 'colorectal cancer', 'rectal cancer', 'neck cancer']
32411709	['prostate cancer', 'breast cancer', 'melanoma', 'pancreatic tumor', 'mammary carcinoma', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'ovarian cancer']
31884964	['small cell lung cancer', 'primary liver cancer', 'breast cancer', 'nsclc', 'breast adenocarcinoma', 'liver cancer', 'non-small cell lung cancer', 'colorectal cancer', 'rectal cancer', 'glioblastoma', 'lung cancer']
30067989	['hepatocellular carcinoma', 'prostate cancer', 'primary liver cancer', 'breast cancer', 'bladder cancer', 'chronic lymphocytic leukemia', 'liver cancer', 'rectal cancer', 'leukemia', 'colorectal cancer', 'pancreatic cancer']
33377086	['pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'pancreatic adenocarcinoma', 'pancreatic tumor']
33322840	['sarcoma', 'head and neck squamous cell carcinoma', 'squamous cell carcinoma', 'carcinoma of the head and neck', 'head and neck cancer', 'oropharyngeal carcinoma', 'squamous cell carcinoma of the head and neck', 'pancreatic cancer', 'soft tissue sarcoma', 'neck cancer']
29593296	['colorectal cancer', 'rectal cancer', 'breast cancer', 'pancreatic cancer']
25315765	[' cml ', 'gastrointestinal', 'breast cancer', 'metastatic cancer', 'esophageal cancer', 'gastric adenocarcinoma', 'gastric cancer', 'gastric carcinoma']
32009247	[' rb ', 'pancreatic cancer', 'glioblastoma', 'retinoblastoma', 'ovarian cancer']
32066753	['breast cancer', 'lung cancer', 'pancreatic adenocarcinoma', 'rectal cancer', 'colorectal cancer', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'breast tumor', 'oral cancer', 'mammary tumor']
32771979	['small cell lung cancer', 'gastric cancer', 'squamous cell carcinoma', 'gastrointestinal', 'breast cancer', 'non-small cell lung cancer', 'colorectal cancer', 'rectal cancer', 'lung adenocarcinoma', 'lung cancer']
33377132	['gastrointestinal', 'colorectal cancer', 'rectal cancer', 'glioblastoma', 'ovarian cancer']
30067989	['hepatocellular carcinoma', 'cholangiocarcinoma', 'breast cancer', 'intrahepatic cholangiocarcinoma', 'male breast cancer', 'liver cancer', 'epithelioma', 'colorectal cancer', 'rectal cancer']
28394884	['endometrial ca', 'endometrial cancer', 'endometrioid carcinoma', 'leukemia']
31195689	['prostate cancer', 'brain cancer', 'gastrointestinal', 'breast cancer', 'nsclc', 'leukemia', 'pancreatic adenocarcinoma', 'rectal cancer', 'colorectal cancer', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'esophageal cancer', 'lung cancer']
30735898	['prostate carcinoma', 'prostate cancer']
33377086	['pancreatic tumor']
32243841	['endometrial cancer', 'breast cancer', 'endometrial ca', 'breast tumor', 'gastric cancer', 'ovarian cancer']
33322840	['oropharyngeal cancer', 'head and neck squamous cell carcinoma', 'squamous cell carcinoma', 'squamous cell cancer', 'carcinoma of the head and neck', 'pharyngeal cancer', 'head and neck cancer', 'carcinoma of larynx', 'squamous cell carcinoma of the head and neck', 'neck cancer']
32009247	['ovarian carcinoma', 'breast cancer', ' rb ', 'ovarian cancer']
30514835	[' gbm ']
33377086	['pancreatic ductal adenocarcinoma', 'pancreatic tumor']
27221051	['colorectal cancer', 'rectal cancer']
31884964	['mammary cancer', 'prostate cancer', 'adenoid cystic carcinoma', 'pancreatic cancer', 'gastrointestinal', 'primary liver cancer', 'breast cancer', 'nsclc', 'colorectal adenocarcinoma', 'liver cancer', 'glioblastoma', 'colorectal cancer', 'rectal cancer', 'pancreatic ductal adenocarcinoma', 'rectal adenocarcinoma', 'gastric cancer', 'lung cancer']
31195689	['small cell lung cancer', 'pancreatic cancer', 'nsclc', 'breast cancer', 'leukemia', 'pancreatic adenocarcinoma', 'non-small cell lung cancer', 'colorectal cancer', 'rectal cancer', 'pancreatic ductal adenocarcinoma', 'lung cancer']
32009247	['ovarian carcinoma', 'ovarian cancer', 'neuroblastoma', 'pancreatic tumor', 'lung cancer']
27221051	['colorectal cancer', 'rectal cancer', 'colon cancer']
33377086	['gastrointestinal', 'breast cancer', 'pancreatic tumor', 'rectal cancer', 'colorectal cancer', 'pancreatic cancer', 'lung cancer']
29084770	['wilms tumor', 'prostate cancer', 'kidney cancer', 'breast cancer', 'renal cancer', 'head and neck cancer', 'melanoma', 'renal cell carcinoma', 'neck cancer', ' rcc ', 'renal carcinoma', 'lung cancer']
32243841	['prostate cancer', 'pancreatic cancer', 'primary liver cancer', 'breast cancer', 'liver cancer', 'colorectal cancer', 'rectal cancer', 'breast tumor', 'gastric cancer', 'ovarian cancer']
29084770	['wilms tumor', 'kidney cancer', 'breast cancer', 'glioblastoma multiforme', 'renal cell carcinoma', 'glioblastoma', 'renal cancer', ' rcc ']
28394884	['endometrial carcinoma', 'endometrial cancer', 'endometrial ca', 'colon cancer', 'endometrial adenocarcinoma', 'colorectal cancer', 'rectal cancer']
33322840	['sarcoma', 'squamous carcinoma', 'head and neck squamous cell carcinoma', 'squamous cell carcinoma', 'prostate cancer', 'squamous cell cancer', 'head and neck carcinoma', 'head and neck cancer', 'soft tissue sarcoma', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'neck cancer', 'oral cancer', 'lung cancer']
29084770	['mammary cancer', 'clear cell renal cell carcinoma', 'kidney cancer', 'renal cancer', 'pancreatic tumor', 'renal cell carcinoma']
30514835	[' gbm ']
29084770	['renal cell cancer', 'clear cell renal cell carcinoma', 'kidney cancer', 'renal cancer', 'thyroid cancer', 'renal cell carcinoma', 'renal clear cell carcinoma', 'gastric cancer']
28394884	['endometrial carcinoma', 'endometrial cancer', 'endometrial ca', 'endometrioid carcinoma', 'colorectal cancer', 'rectal cancer']
30872643	['gastric cancer', 'gastrointestinal']
29703791	['colorectal cancer', 'rectal cancer', 'gastric cancer', 'gastric adenocarcinoma']
25315765	['oligodendroglioma', 'small cell lung cancer', 'glioma', 'ovarian cancer', 'gastrointestinal', 'lung cancer', 'acute myeloid leukaemia', 'colon cancer', 'stomach cancer', 'colorectal adenocarcinoma', 'rectal adenocarcinoma', 'gastric cancer', 'gastric carcinoma']
29703791	['prostate cancer', 'stomach cancer', 'rectal cancer', 'colorectal cancer', 'pancreatic cancer', 'gastric cancer']
33111093	['pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'pancreatic tumor']
29703791	['prostate cancer', 'esophageal cancer', 'rectal cancer', 'gastric adenocarcinoma', 'colorectal cancer', 'pancreatic cancer', 'esophageal carcinoma', 'gastric cancer', 'gastric carcinoma']
32731171	['glioma', 'gastrointestinal', 'brain tumors', ' gbm ', 'glioblastoma']
33111093	['pancreatic cancer', 'pancreatic ductal adenocarcinoma']
29703791	['gastric cancer', 'prostate cancer', 'gastrointestinal', 'rectal cancer', 'gastric adenocarcinoma', 'oesophageal adenocarcinoma', 'colorectal cancer', 'pancreatic cancer', 'esophageal cancer']
31827102	['sarcoma', 'ovarian cancer']
32243841	['ovarian carcinoma', 'gastric cancer', 'breast cancer', 'rectal cancer', 'b-cell lymphoma', 'lymphoma', 'colorectal cancer', 'pancreatic cancer', 'hodgkin lymphoma', 'lung adenocarcinoma', 'ovarian cancer']
33182346	['oligodendroglioma', 'glioma', 'brain cancer', 'brain tumors', 'glioblastoma multiforme', 'astrocytoma', 'astrocytomas', 'glioblastoma', 'adult brain tumor']
27221051	['pancreatic cancer', 'gastrointestinal', 'breast cancer', 'colon cancer', 'colorectal cancer', 'rectal cancer']
33182346	['oligodendroglioma', 'glioma', 'brain cancer', 'brain tumors', 'neurofibroma', 'astrocytoma', 'astrocytomas', 'glioblastoma', 'retinoblastoma', 'medulloblastoma']
32731171	['glioma', 'hepatocellular carcinoma', 'prostate cancer', 'gastrointestinal', ' gbm ', 'glioblastoma']
31195689	['small cell lung cancer', 'prostate cancer', 'breast carcinoma', 'pancreatic ductal adenocarcinoma', 'gastrointestinal', 'primary liver cancer', 'breast cancer', 'pancreatic tumor', 'liver cancer', 'pancreatic adenocarcinoma', 'rectal cancer', 'non-small cell lung cancer', 'colorectal cancer', 'pancreatic cancer', 'glioblastoma', 'gastric cancer', 'lung cancer']
33613198	['glioma', 'glioblastoma', ' gbm ', 'brain cancer']
32810173	['colorectal cancer', 'rectal cancer', 'gastrointestinal']
33613198	[' gbm ']
30872643	['ewing sarcoma', 'sarcoma', 'gastrointestinal', 'colon cancer', 'gastric adenocarcinoma', 'colorectal cancer', 'rectal cancer', 'renal carcinoma', ' aml ', 'gastric cancer']
30353124	['retinoblastoma', ' rb ']
33613198	['glioma', 'brain cancer', 'glioblastoma multiforme', ' gbm ', 'glioblastoma']
30353124	['retinoblastoma', ' rb ', 'pancreatic tumor']
33613198	['glioma', 'glioblastoma multiforme', ' gbm ', 'glioblastoma', 'brain glioblastoma']
30353124	['retinoblastoma', ' rb ']
33613198	['glioma', 'glioblastoma multiforme', 'brain tumors', 'primary brain tumor', 'astrocytoma', 'astrocytomas', 'glioblastoma']
29552622	['squamous cell carcinoma', 'gastrointestinal']
33182346	['glioblastoma multiforme', 'glioma', 'glioblastoma', ' gbm ']
33613198	['oligodendroglioma', 'glioma', 'brain tumors', 'glioblastoma multiforme', 'astrocytoma', 'malignant astrocytoma', 'brain tumour', 'malignant glioma', 'glioblastoma']
32327656	['hepatocellular carcinoma', 'hepatic neoplasm', 'cholangiocarcinoma', 'fibrolamellar carcinoma', 'primary liver cancer', 'basal cell carcinoma', 'breast cancer', 'neuroendocrine tumor', 'colon cancer', 'liver cancer', 'colorectal cancer', 'rectal cancer']
32810173	['colon cancer', 'mucinous adenocarcinoma', 'colorectal cancer', 'rectal cancer', 'colon carcinoma']
32577539	['colon cancer', 'head and neck cancer', 'colorectal cancer', 'rectal cancer', 'neck cancer', 'cervical cancer', 'colon carcinoma']
30353124	['retinoblastoma', ' rb ']
32396494	['esophagus adenocarcinoma', 'stomach cancer', 'colorectal adenocarcinoma', 'rectal cancer', 'oesophageal adenocarcinoma', 'colorectal cancer', 'pancreatic cancer', 'rectal adenocarcinoma', 'esophageal cancer', 'lung cancer']
32731171	['glioma', 'glioblastoma', 'diffuse intrinsic pontine glioma', 'gastrointestinal']
32396494	['stomach cancer', 'rectal cancer', 'colorectal cancer', 'pancreatic cancer', 'epidermoid carcinoma', 'esophageal cancer', 'lung cancer']
32461556	['ovarian carcinoma', 'sarcoma', 'leiomyosarcomas', ' rb ', 'malignant tumor', 'leiomyosarcoma', 'ovarian cancer']
33575256	['colorectal cancer', 'rectal cancer', ' hl ', 'colon cancer']
33322840	['sarcoma', 'squamous cell carcinoma', 'primary liver cancer', 'breast cancer', 'bladder cancer', 'liver cancer', 'ovarian cancer', 'lung cancer', 'prostate cancer', 'oral squamous cell carcinoma', 'rectal cancer', 'oral cancer', 'squamous cell cancer', 'neck cancer', 'head and neck squamous cell carcinoma', 'gastrointestinal', 'head and neck cancer', 'colorectal cancer', 'pancreatic cancer', 'glioblastoma', 'gastric cancer']
32327656	['hepatocellular carcinoma', 'primary liver cancer', 'basal cell carcinoma', 'neuroendocrine tumor', 'colon cancer', 'liver cancer', 'colorectal cancer', 'rectal cancer', 'gastric cancer']
30353124	['small cell lung cancer', ' rb ', 'prostate cancer', 'primary liver cancer', 'breast cancer', 'pancreatic tumor', 'liver cancer', 'non-small cell lung cancer', 'colorectal cancer', 'rectal cancer', 'retinoblastoma', 'lung cancer']
33575256	['prostate cancer', 'colon cancer', 'myeloid leukemia', 'leukemia', 'colorectal cancer', 'rectal cancer', 'gastric cancer']
33377020	['colorectal cancer', 'rectal cancer']
33322840	['head and neck squamous cell carcinoma', 'squamous cell carcinoma']
31028424	['colorectal cancer', 'rectal cancer', 'leukemia', 'lung cancer']
32068945	['prostate cancer', 'gastrointestinal', 'colorectal cancer', 'rectal cancer', 'epidermoid carcinoma']
33240885	['thyroid cancer', 'breast cancer', 'gastrointestinal']
32461556	['ovarian carcinoma', 'pancreatic cancer', 'breast cancer', 'colorectal cancer', 'rectal cancer', 'ovarian cancer']
32467755	['gastrointestinal']
32117908	['colorectal cancer', 'rectal cancer']
29464078	['colorectal cancer', 'rectal cancer', 'neuroblastoma', 'gastrointestinal']
32894216	['prostate cancer', 'metastatic cancer', 'skin cancer']
30236449	['small cell lung cancer', 'acute promyelocytic leukemia', 'lung cancer', 'leukemia']
33318192	['retinoblastoma', ' rb ']
33377020	['colorectal cancer', 'rectal cancer', 'stomach cancer']
33318192	[' rb ']
32117908	['colorectal cancer', 'rectal cancer']
33318192	['retinoblastoma', ' rb ', 'malignant tumor']
32117908	['colorectal cancer', 'rectal cancer', 'breast cancer']
33318192	['sarcoma', 'retinoblastoma', 'osteosarcoma', ' rb ']
32117908	['colorectal cancer', 'rectal cancer', 'breast cancer']
33318192	['glioblastoma', 'retinoblastoma', 'breast cancer']
32117908	['head and neck cancer', 'neck cancer', 'colon cancer']
29871632	['pancreatic adenocarcinoma', 'gastrointestinal']
27845624	['colorectal cancer', 'rectal cancer', 'colon cancer']
32147965	['breast cancer', 'gastric cancer', 'gastrointestinal']
33377020	['small cell lung cancer', 'squamous cell carcinoma', 'colon cancer', 'colorectal cancer', 'rectal cancer', 'lung squamous cell carcinoma', 'lung cancer']
31419632	['breast cancer', 'breast tumor']
33291603	['hepatocellular carcinoma', 'ovarian cancer', 'cholangiocarcinoma', 'endometrial cancer', 'primary liver cancer', 'endometrial ca', 'pancreatic tumor', 'liver cancer', 'colorectal cancer', 'rectal cancer', 'glioblastoma', 'lung cancer']
31419632	['breast cancer', 'breast tumor']
33291603	['gastric cancer', 'prostate cancer', 'breast cancer', 'bladder cancer', 'pancreatic tumor', 'colorectal cancer', 'rectal cancer', 'esophageal cancer']
31419632	['breast cancer', 'breast tumor']
33291603	['myeloma', 'head and neck squamous cell carcinoma', 'prostate cancer', 'squamous cell carcinoma', 'multiple myeloma', 'kidney cancer', 'rectal cancer', 'glioblastoma', 'gastric cancer', 'ovarian cancer']
31419632	[' tam ', 'breast cancer', 'breast tumor', 'colon cancer']
31028424	['breast cancer', 'colon cancer', 'rectal cancer', 'colorectal cancer', 'pancreatic cancer', 'colon carcinoma']
30925167	['colorectal cancer', 'rectal cancer', 'colon cancer']
29921838	['small cell lung cancer', 'prostate cancer', 'retinoblastoma', 'prostate adenocarcinoma', 'prostate carcinoma', 'lung cancer']
30925167	['colon cancer', 'pancreatic adenocarcinoma', 'colorectal cancer', 'rectal cancer', 'colon carcinoma']
29921838	['pancreatic cancer', 'glioblastoma', 'prostate cancer']
33182346	['glioma', 'brain tumors', 'atypical teratoid/rhabdoid tumor', 'primary brain tumor', 'glioblastoma multiforme', 'astrocytoma', 'malignant astrocytoma', 'brain tumour', 'malignant glioma', 'glioblastoma', 'rhabdoid tumor']
30925167	['colorectal cancer', 'rectal cancer', 'pancreatic adenocarcinoma']
29921838	['glioma', 'cholangiosarcoma', 'sarcoma', 'prostate cancer', 'uterine carcinosarcoma', 'neuroblastoma', 'carcinosarcoma', 'glioblastoma', 'angiosarcoma']
30925167	['pancreatic cancer', 'gastrointestinal', 'colon cancer', 'colorectal cancer', 'rectal cancer', 'metastatic cancer', 'ovarian cancer']
32103108	['prostate cancer', 'gastrointestinal', 'melanoma', 'breast tumor', 'ovarian cancer']
30925167	['breast cancer', 'colon cancer', 'colorectal cancer', 'rectal cancer', 'lung cancer']
33178400	['liver cancer', 'breast cancer', 'hepatoblastoma']
29921838	[' rb ', 'prostate cancer', 'pancreatic cancer', 'breast cancer', 'bladder cancer', 'prostate adenocarcinoma', 'melanoma', 'glioblastoma', 'prostate carcinoma', 'metastatic cancer', 'lung cancer']
32103108	['prostate cancer', 'gastrointestinal', 'melanoma', 'breast tumor', 'ovarian cancer']
33182346	['glioma', 'prostate cancer', 'primary liver cancer', 'pancreatic tumor', 'liver cancer', 'glioblastoma', 'gastric cancer', 'ovarian cancer']
31243370	['prostate cancer']
32894216	['prostate cancer', 'skin cancer']
33087703	['colorectal cancer', 'rectal cancer']
31243370	['prostate cancer']
31419632	['breast carcinoma', 'breast cancer', 'colon cancer', 'leukemia', 'breast tumor']
32103108	['prostate cancer', 'gastrointestinal']
31243370	['breast cancer', 'prostate cancer']
30236449	['small cell lung cancer', 'cholangiocarcinoma', 'myelodysplastic', 'neuroblastoma', 'myelodysplastic syndrome', 'myeloid leukemia', 'leukemia', 'acute myeloid leukemia', 'acute promyelocytic leukemia', 'lung adenocarcinoma', 'lung cancer']
29325707	['pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'pancreatic adenocarcinoma', 'gastrointestinal']
29853607	['colorectal cancer', 'rectal cancer', 'malignant tumor', 'colon cancer']
32771978	['cholangiocarcinoma', 'gastrointestinal', 'pancreatic carcinoma', 'colorectal adenocarcinoma', 'thyroid cancer', 'pancreatic adenocarcinoma', 'anaplastic thyroid carcinoma', 'vascular tumors', 'rectal adenocarcinoma', 'melanoma', 'renal cell carcinoma', 'gastrointestinal carcinoma', ' rcc ', 'renal carcinoma', 'gastric carcinoma']
29853607	['basal cell carcinoma', 'medulloblastoma', 'malignant tumor', 'colon cancer']
32771978	['sarcoma', 'pancreatic neoplasm', 'vascular tumors', 'anaplastic thyroid carcinoma', 'melanoma', 'soft tissue sarcoma', ' rcc ']
32745985	['colorectal cancer', 'rectal cancer', 'gastrointestinal']
29853607	['hepatocellular carcinoma', 'gastrointestinal', 'breast cancer', 'colon cancer', 'leukemia', 'colorectal cancer', 'rectal cancer', 'glioblastoma', 'colon carcinoma']
32894216	['prostate cancer']
32427938	['lymphoblastic leukemia', 'breast carcinoma', 'acute lymphoblastic leukemia', 'breast cancer', 'leukemia', 'colorectal cancer', 'rectal cancer', 'breast tumor', 'gastric cancer', 'lung cancer']
32976661	['breast cancer', 'leukemia', 'lymphoma', 'colorectal cancer', 'rectal cancer']
32771978	['sarcoma', 'pancreatic neoplasm', 'pancreatic cancer', 'gastrointestinal', 'breast cancer', 'pancreatic tumor', 'thyroid cancer', 'rectal cancer', 'anaplastic thyroid carcinoma', 'lymphoma', 'colorectal cancer', 'melanoma', 'soft tissue sarcoma', 'hematologic neoplasm', 'lung cancer']
32976661	['primary breast cancer', 'breast cancer', 'gastric cancer', 'ovarian cancer']
31795490	['bladder carcinoma', 'gastrointestinal', 'breast cancer', 'bladder cancer', 'gallbladder cancer', 'colon cancer', 'pancreatic cancer', 'biliary tract cancer', 'gastric cancer']
27845624	['prostate cancer', 'pancreatic cancer', 'melanoma', 'pancreatic tumor', 'colon cancer', 'colorectal cancer', 'rectal cancer', 'lung cancer']
33087703	['breast cancer', 'melanoma', 'colon cancer', 'colorectal cancer', 'rectal cancer', 'ovarian cancer']
32745985	['gastrointestinal', 'breast cancer', 'mesothelioma', 'colon cancer', 'malignant mesothelioma', 'colorectal cancer', 'rectal cancer']
31970266	['colorectal cancer', 'rectal cancer', 'gastrointestinal']
33291603	['hepatocellular carcinoma', 'prostate cancer', 'cholangiocarcinoma', 'pancreatic cancer', 'gastrointestinal', 'primary liver cancer', 'childhood kidney cancer', 'breast cancer', 'kidney cancer', 'bladder cancer', 'lung cancer', 'pancreatic tumor', 'liver cancer', 'colorectal cancer', 'rectal cancer', 'glioblastoma', 'gastric cancer', 'ovarian cancer']
30996297	['breast cancer', 'colon cancer', 'colorectal cancer', 'rectal cancer', 'lung cancer']
27845624	['colorectal cancer', 'rectal cancer', 'colon cancer']
32976661	['pancreatic cancer', 'breast cancer', 'colorectal cancer', 'rectal cancer', 'breast tumor', 'primary breast cancer', 'ovarian cancer']
30566873	['prostate cancer']
32427938	['lymphoblastic leukemia', 'glioma', 'hepatocellular carcinoma', 'prostate cancer', 'medulloblastoma', 'acute lymphoblastic leukemia', 'breast cancer', 't acute lymphoblastic leukemia', 'lung cancer', 'melanoma', 'colon cancer', 'leukemia', 'rectal cancer', 'colorectal cancer', 'lung carcinoma', 'breast tumor', 'ovarian cancer']
32679108	['glioma', 'prostate cancer', 'breast cancer', 'mucinous adenocarcinoma', 'rectal cancer', 'lymphoma', 'colorectal cancer', 'melanoma', 'lung adenocarcinoma', 'lung cancer']
28232471	['pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'pancreatic tumor', 'leukemia']
32679108	['prostate cancer', 'breast cancer', 'mucinous adenocarcinoma', 'prostate adenocarcinoma', 'melanoma', 'lung cancer']
31694307	['head and neck squamous cell carcinoma', 'squamous cell carcinoma', 'vulvar squamous cell carcinoma', 'head and neck cancer', 'neck cancer']
32679108	['melanoma', 'breast cancer', 'prostate cancer']
31367270	['gastrointestinal', 'breast cancer', 'bladder cancer', 'stomach cancer', 'gastric adenocarcinoma', 'colorectal cancer', 'rectal cancer', 'gastric cancer', 'gastric carcinoma']
32393270	['breast cancer', 'retinoblastoma']
32679108	['colorectal cancer', 'rectal cancer', 'melanoma', 'prostate cancer']
28232471	['pancreatic cancer', 'pancreatic tumor']
32393270	['breast cancer']
32679108	['small cell lung cancer', 'prostate cancer', 'squamous cell carcinoma', 'breast cancer', 'non-small cell lung cancer', 'lung cancer']
32393270	['endometrial carcinoma', 'breast cancer', 'endometrial ca', 'bladder cancer', 'renal cell carcinoma', 'gastric cancer']
